id,title,runningTimeInMinutes,releaseDate,certificate,rating,ratingcount,text
tt0347149,Howl's Moving Castle,119,2005-06-17,PG,8.2,439266,"When an unconfident young woman is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions in his legged, walking castle."
tt0499549,Avatar,162,2009-12-18,PG-13,7.9,1373741,A paraplegic Marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home.
tt0304141,Harry Potter and the Prisoner of Azkaban,142,2004-06-04,PG,7.9,682890,"Harry Potter, Ron and Hermione return to Hogwarts School of Witchcraft and Wizardry for their third year of study, where they delve into the mystery surrounding an escaped prisoner who poses a dangerous threat to the young wizard."
tt9224104,Meg 2: The Trench,116,2023-08-04,PG-13,5.0,72910,"A research team encounters multiple threats while exploring the depths of the ocean, including a malevolent mining operation."
tt0068473,Deliverance,109,1972-08-18,R,7.7,118139,"Intent on seeing the Cahulawassee River before it's dammed and turned into a lake, outdoor fanatic Lewis Medlock takes his friends on a canoeing trip they'll never forget into the dangerous American back-country."
tt2278388,The Grand Budapest Hotel,99,2014-03-28,R,8.1,875601,"A writer encounters the owner of an aging high-class hotel, who tells him of his early years serving as a lobby boy in the hotel's glorious years under an exceptional concierge."
tt0117060,Mission: Impossible,110,1996-05-22,PG-13,7.2,465618,"An American agent, under false suspicion of disloyalty, must discover and expose the real spy without the help of his organization."
tt0073195,Jaws,124,1975-06-20,PG,8.1,652001,"When a killer shark unleashes chaos on a beach community off Cape Cod, it's up to a local sheriff, a marine biologist, and an old seafarer to hunt the beast down."
tt0120623,A Bug's Life,95,1998-11-25,G,7.2,311309,"A misfit ant, looking for ""warriors"" to save his colony from greedy grasshoppers, recruits a group of bugs that turn out to be an inept circus troupe."
tt0295297,Harry Potter and the Chamber of Secrets,161,2002-11-15,PG,7.4,684037,An ancient prophecy seems to be coming true when a mysterious presence begins stalking the corridors of a school of magic and leaving its victims paralyzed.
tt0062622,2001: A Space Odyssey,149,1968-04-02,G,8.3,710730,"After uncovering a mysterious artifact buried beneath the Lunar surface, a spacecraft is sent to Jupiter to find its origins: a spacecraft manned by two men and the supercomputer HAL 9000."
tt0892769,How to Train Your Dragon,98,2010-03-26,PG,8.1,790281,"A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself, and learns there may be more to the creatures than he assumed."
tt0080455,The Blues Brothers,133,1980-06-20,R,7.9,212104,"Jake Blues rejoins with his brother Elwood after being released from prison, but the duo has just days to reunite their old R&B band and save the Catholic home where the two were raised, outrunning the police as they tear through Chicago."
